,W01_001,W01_002,W01_003,W01_004,W01_005,W01_006,W01_007,W01_008,W01_009,W01_010,W01_011,W01_012,W01_013,W01_014,geometry
20,久吉,366,岩木川,平川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",57,317,287,6730,都道府県,1995,青森県平川市碇ヶ関東碇ヶ関山,1,POINT (140.6923925156308 40.44251982808411)
21,津刈,359,岩木川,津刈川,アースダム,灌漑，特定(新規)灌漑用水,30.2,268,113,451,都道府県,1962,青森県平川市碇ヶ関久吉,1,POINT (140.6731882343641 40.44320949396901)
22,早瀬野,361,岩木川,虹貝川,ロックフィルダム,灌漑，特定(新規)灌漑用水,56,285.9,1350,13500,農林水産省（各地方農政局含む）,1985,青森県南津軽郡大鰐町早瀬野,1,POINT (140.5454665839891 40.46749665057602)
23,浅瀬石川,358,岩木川,浅瀬石川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,発電",91,330,700,53100,国土交通省（各地方整備局，北海道開発局含む）,1988,青森県黒石市大字袋字富岡,1,POINT (140.6898105445925 40.59733146986959)
24,一の渡,371,岩木川,浅瀬石川,重力式コンクリートダム,発電,15.6,65.5,4,28,電力会社・電源開発株式会社,1931,青森県平川市小国,2,POINT (140.6824670794305 40.55695747300237)
25,二庄内,360,岩木川,二庄内川,ロックフィルダム,灌漑，特定(新規)灌漑用水,86,430.8,3450,15600,農林水産省（各地方農政局含む）,1995,青森県黒石市大字二庄内,1,POINT (140.7282033386294 40.5878241206608)
26,浪岡,356,岩木川,王余魚沢川,ロックフィルダム,灌漑，特定(新規)灌漑用水,52.4,304.5,943,7600,農林水産省（各地方農政局含む）,1982,青森県青森市浪岡王余魚沢,1,POINT (140.6744711788007 40.71947505138665)
27,本郷川（元）,368,岩木川,本郷川,アースダム,灌漑，特定(新規)灌漑用水,21.8,84.8,40,200,都道府県,1956,青森県青森市浪岡本郷,2,POINT (140.6372041810789 40.69124554513556)
28,本郷（再）,369,岩木川,本郷川,アースダム,灌漑，特定(新規)灌漑用水,21.8,84.5,40,200,都道府県,1956,青森県青森市浪岡本郷字松元246-1地先,2,POINT (140.6372041810789 40.69124554513556)
29,飯詰,363,岩木川,飯詰川,アースダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",38,234,241,2380,都道府県,1973,青森県五所川原市飯詰字影日沢,1,POINT (140.516385720693 40.84112164139793)
30,小田川,367,岩木川,小田川,ロックフィルダム,灌漑，特定(新規)灌漑用水,31,203,208,9700,農林水産省（各地方農政局含む）,1975,青森県五所川原市金木町,1,POINT (140.5407898523133 40.88879374841651)
31,新小戸六,362,岩木川,山田川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",23.8,294,294,1750,農林水産省（各地方農政局含む）,1967,青森県つがる市森田町床舞,1,POINT (140.3298301021646 40.76713258093827)
32,赤石,372,赤石川,赤石川,重力式コンクリートダム,発電,23.1,50.5,9,831,電力会社・電源開発株式会社,1955,青森県西津軽郡鯵ヶ沢町一ツ森字中赤石山,1,POINT (140.1112575487193 40.5358346253454)
33,指久保,200,奥入瀬川,後藤川,ロックフィルダム,灌漑，特定(新規)灌漑用水,37.8,200,778,2922,都道府県,2011,青森県十和田市大字滝沢,4,POINT (141.1433478857363 40.4951383655302)
34,北辰,1,声問川,タツニウシュナイ川,ロックフィルダム,上水道用水,32,180,332,6700,市区町村,1980,北海道稚内市大字声問村字上声問,1,POINT (141.8938668 45.31615403)
35,雄武,2,雄武川,イソサム川,ロックフィルダム,灌漑，特定(新規)灌漑用水,53.6,234,883,3300,国土交通省（各地方整備局，北海道開発局含む）,2009,北海道紋別郡雄武町道有林内,1,POINT (142.8843132055575 44.48086685736924)
36,武利,3,湧別川,武利川,アスファルトコアダム,発電,15.5,173,80,820,電力会社・電源開発株式会社,1980,北海道紋別郡遠軽町丸瀬布上武利,1,POINT (143.33958292 43.94185954)
37,鹿ノ子,5,常呂川,常呂川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水",55.5,222,204,39800,国土交通省（各地方整備局，北海道開発局含む）,1983,北海道常呂郡置戸町字常元,1,POINT (143.38812142 43.60745738)
38,富里,6,常呂川,仁頃川,ロックフィルダム,灌漑，特定(新規)灌漑用水,44.3,280,444,2800,国土交通省（各地方整備局，北海道開発局含む）,1987,北海道北見市字富里,1,POINT (143.75308326 43.85528702)
39,卯原内,7,卯原内川,卯原内川,ロックフィルダム,灌漑，特定(新規)灌漑用水,40.5,355,820,4300,国土交通省（各地方整備局，北海道開発局含む）,2000,北海道網走市字卯原内,1,POINT (144.06983501 43.97756271)
40,古梅,8,網走川,石切川,ロックフィルダム,灌漑，特定(新規)灌漑用水,48,215.9,654,3500,国土交通省（各地方整備局，北海道開発局含む）,1996,北海道網走郡美幌町,1,POINT (144.22558038 43.69891701000002)
41,緑,9,斜里川,アタクチャ川,ロックフィルダム,灌漑，特定(新規)灌漑用水,73,345,1998,7100,国土交通省（各地方整備局，北海道開発局含む）,2003,北海道斜里郡清里町国有林地内,1,POINT (144.63005927 43.6707744)
42,牧の内,10,コタンケシ川,コタンケシ川,重力式コンクリートダム,上水道用水,18.5,105,8,696,市区町村,1980,北海道根室市牧の内203-2番地,1,POINT (145.63890974 43.35821532)
43,庶路,11,庶路川,庶路川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,工業用水道用水",48.9,285,140,36500,都道府県,2004,北海道白糠郡白糠町滝の上,1,POINT (143.98427387 43.17417022)
44,十勝,20,十勝川,十勝川,ロックフィルダム,"洪水調節，農地防災,発電",84.3,443,3715,112000,国土交通省（各地方整備局，北海道開発局含む）,1984,北海道上川郡新得町字屈足トムラウシ,1,POINT (142.93904031 43.24059251)
45,岩松,12,十勝川,十勝川,重力式コンクリートダム,発電,37.2,190.5,78,9026,電力会社・電源開発株式会社,1941,北海道上川郡新得町字屈足,1,POINT (142.93636115 43.19712966000002)
46,屈足,13,十勝川,十勝川,ロックフィルダム,"灌漑，特定(新規)灌漑用水,発電",27.5,220.1,216,3130,,1988,北海道上川郡新得町字屈足763-5,1,POINT (142.90742457 43.14849020999998)
47,富村,14,十勝川,トムラウシ川,重力式コンクリートダム,発電,37,106,37,2900,電力会社・電源開発株式会社,1978,北海道上川郡新得町字トムラウシ,1,POINT (142.88404944 43.43305158)
48,佐幌,19,十勝川,佐幌川,重力式コンクリートダム,洪水調節，農地防災,46.6,255,199,10400,都道府県,1984,北海道上川郡新得町字新内西1線,1,POINT (142.83855347 43.17026153)
49,美生,15,十勝川,美生川,重力式コンクリートダム・フィルダム複合ダム,灌漑，特定(新規)灌漑用水,47.2,350,201,9400,国土交通省（各地方整備局，北海道開発局含む）,1999,北海道河西郡芽室町,1,POINT (142.85187238 42.80650517000002)
50,幌加,18,十勝川,幌加川,ロックフィルダム,発電,32,135.5,106,493,電力会社・電源開発株式会社,1965,北海道河東郡上士幌町字幌加13,1,POINT (143.13262943 43.43074089000001)
51,糠平,24,十勝川,音更川,重力式コンクリートダム,発電,76,293,460,193900,電力会社・電源開発株式会社,1956,北海道河東郡上士幌町字黒石平31-3,1,POINT (143.22132114 43.37292954)
52,元小屋,22,十勝川,音更川,重力式コンクリートダム,発電,32,86,31,2610,電力会社・電源開発株式会社,1960,北海道河東郡上士幌町字黒石平42,1,POINT (143.2673056 43.34561111)
53,札内川,16,十勝川,札内川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,発電",114,300,770,54000,国土交通省（各地方整備局，北海道開発局含む）,1998,北海道河西郡中札内村,1,POINT (142.9233963 42.58796402)
54,幕別,23,十勝川,稲士別川,アースダム,灌漑，特定(新規)灌漑用水,26.9,335,868,2300,国土交通省（各地方整備局，北海道開発局含む）,2004,北海道中川郡幕別町字日新,1,POINT (143.2779962848156 42.87359324110894)
55,活込,25,十勝川,美里別川,重力式コンクリートダム,発電,34,185,44,17410,電力会社・電源開発株式会社,1955,北海道中川郡本別町美里別656-7,1,POINT (143.47910203 43.23325964000001)
56,糠南,21,十勝川,ヌカナン川,重力式コンクリートダム・フィルダム複合ダム,発電,18.6,312.5,62,665,電力会社・電源開発株式会社,1960,北海道足寄郡足寄町芽登2981,1,POINT (143.32831657 43.39178042)
57,幌満川第3,26,幌満川,幌満川,重力式コンクリートダム,発電,42.5,186.3,70,15379,その他の企業,1954,北海道様似郡様似町字大泉,1,POINT (143.06974443 42.12499108)
58,様似,27,様似川,様似川,重力式コンクリートダム,洪水調節，農地防災,44,140,76,6200,都道府県,1975,北海道様似郡様似町字新富,1,POINT (142.95868459 42.18519444)
59,浦河,28,向別川,向別川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",42.1,296,189,5630,都道府県,1999,北海道浦河郡浦河町字上向別,1,POINT (142.82422383 42.23950186)
60,三石,29,三石川,三石川,ロックフィルダム,灌漑，特定(新規)灌漑用水,35,240,342,8170,国土交通省（各地方整備局，北海道開発局含む）,1991,北海道日高郡新ひだか町三石字美河,1,POINT (142.69560479 42.38135916)
61,高見,30,静内川,静内川,ロックフィルダム,"洪水調節，農地防災,発電",120,435,5120,229000,,1983,北海道日高郡新ひだか町字高見,1,POINT (142.63737363 42.45760853)
62,双川,32,静内川,静内川,重力式コンクリートダム,発電,30.5,110,37,1620,電力会社・電源開発株式会社,1979,北海道日高郡新ひだか町静内,1,POINT (142.54625028 42.41800027000002)
63,静内,34,静内川,静内川,重力式コンクリートダム,発電,66,207.5,162,29800,電力会社・電源開発株式会社,1966,北海道日高郡新ひだか町字高見,1,POINT (142.56673588 42.41409018)
64,春別,33,静内川,春別川,重力式コンクリートダム,発電,27,90,23,1430,電力会社・電源開発株式会社,1963,北海道日高郡新ひだか町字高見,1,POINT (142.5921389 42.54652778)
65,東の沢,31,静内川,コイカクシユシピチヤリ川,重力式コンクリートダム,発電,70,140,130,9560,電力会社・電源開発株式会社,1987,北海道日高郡新ひだか町字高見国有林,1,POINT (142.7746389 42.47472021)
66,奥新冠,38,新冠川,新冠川,アーチダム,発電,61.2,110,30,6665,電力会社・電源開発株式会社,1963,北海道新冠郡新冠町字岩清水,1,POINT (142.67789773 42.67397543000001)
67,新冠,35,新冠川,新冠川,ロックフィルダム,発電,102.8,326,3071,145000,電力会社・電源開発株式会社,1974,北海道新冠郡新冠町字岩清水,1,POINT (142.55670461 42.60635864999998)
68,下新冠,36,新冠川,新冠川,重力式コンクリートダム,発電,46,131,62,6550,電力会社・電源開発株式会社,1969,北海道新冠郡新冠町,1,POINT (142.53577414 42.56651047)
69,岩清水,37,新冠川,新冠川,重力式コンクリートダム,発電,30,124.2,26,1814,電力会社・電源開発株式会社,1959,北海道新冠郡新冠町,1,POINT (142.53695792 42.54351215)
70,門別,39,日高門別川,ダム沢川,アースダム,灌漑，特定(新規)灌漑用水,20.8,117,68,256,都道府県,1971,北海道沙流郡日高町門別字広富,1,POINT (142.20465323 42.54704461)
71,岩知志,42,沙流川,沙流川,重力式コンクリートダム,発電,33,92.2,29,5040,電力会社・電源開発株式会社,1958,北海道沙流郡日高町字富岡,1,POINT (142.3966423 42.79643117)
72,二風谷,43,沙流川,沙流川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水,発電",32,550,276,31500,国土交通省（各地方整備局，北海道開発局含む）,1997,北海道沙流郡平取町字二風谷,1,POINT (142.148492 42.62926849)
73,平取,41,沙流川,額平川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",56.5,600,183,45800,国土交通省（各地方整備局，北海道開発局含む）,2019,北海道沙流郡平取町字芽生,4,POINT (142.3862480068371 42.68030322454107)
74,双珠別,44,鵡川,双珠別川,重力式コンクリートダム,発電,29,83,26,1330,電力会社・電源開発株式会社,1961,北海道勇払郡占冠村字双珠別,1,POINT (142.54514489 42.95310138)
75,穂別,45,鵡川,穂別川,ロックフィルダム,灌漑，特定(新規)灌漑用水,38.2,283.2,529,10330,国土交通省（各地方整備局，北海道開発局含む）,1985,北海道勇払郡むかわ町穂別字長和,1,POINT (142.17945634 42.88450303)
76,厚幌,46,厚真川,厚真川,台形CSG ダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水",47.2,516,480,47400,都道府県,-,北海道勇払郡厚真町幌内地先,4,POINT (141.9935612222664 42.76633816471684)
77,厚真,47,厚真川,厚真川,ロックフィルダム,灌漑，特定(新規)灌漑用水,38.2,222,500,10080,国土交通省（各地方整備局，北海道開発局含む）,1970,北海道勇払郡厚真町幌内,1,POINT (142.037 42.79511111000004)
78,瑞穂,48,勇払川,支安平川,ロックフィルダム,灌漑，特定(新規)灌漑用水,25.9,427.1,462,4300,国土交通省（各地方整備局，北海道開発局含む）,1998,北海道勇払郡安平町早来字瑞穂,1,POINT (141.89706947 42.84081592)
79,幌別,49,胆振幌別川,胆振幌別川,アースダム,工業用水道用水,22.5,366,393,9974,都道府県,1967,北海道登別市片倉町,1,POINT (141.0803569 42.421642)
80,濁川,50,濁川,澄川,ロックフィルダム,洪水調節，農地防災,42,219,480,1048,都道府県,2005,北海道茅部郡森町,1,POINT (140.4504499862566 42.10025272291713)
81,駒ヶ岳,51,鳥崎川,鳥崎川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,43.6,72,39,3300,国土交通省（各地方整備局，北海道開発局含む）,1984,北海道茅部郡森町字栗ヶ丘,1,POINT (140.50340225 42.06328552)
82,常路川,52,常路川,常路川,重力式コンクリートダム,発電,24.5,57.9,12,79,電力会社・電源開発株式会社,1932,北海道茅部郡鹿部町字大岩道有林,2,POINT (140.82515435 41.97155033)
83,矢別,53,汐泊川,汐泊川,重力式コンクリートダム,洪水調節，農地防災,33.6,84,26,3800,都道府県,1975,北海道函館市鉄山町,1,POINT (140.90818118 41.83914938000002)
84,笹流,54,亀田川,笹流川,バットレスダム,上水道用水,25.3,199.3,36,606,市区町村,1923,北海道函館市陣川町,1,POINT (140.7732778 41.83491667)
85,新中野（再）,56,亀田川,亀田川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",74.9,248,256,3340,都道府県,1984,北海道函館市亀田大森町1番地,1,POINT (140.7860370494369 41.87019960756233)
86,大野,57,大野川,中二股沢川,重力式コンクリートダム,"灌漑，特定(新規)灌漑用水,上水道用水",47.5,160,98,1600,国土交通省（各地方整備局，北海道開発局含む）,2002,北海道北斗市中山国有林,1,POINT (140.5128224344489 41.95755908689968)
87,上磯,58,戸切地川,戸切地川,ロックフィルダム,灌漑，特定(新規)灌漑用水,32,408,525,3620,国土交通省（各地方整備局，北海道開発局含む）,1990,北海道北斗市野崎,1,POINT (140.59926419 41.86714088)
88,知内,60,知内川,ミナゴヤ川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,40.5,321,168,6500,国土交通省（各地方整備局，北海道開発局含む）,1993,北海道上磯郡知内町字湯の里,1,POINT (140.30106652 41.61273669)
89,岩尾内,65,天塩川,天塩川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水,発電",58,448,394,107700,国土交通省（各地方整備局，北海道開発局含む）,1970,北海道士別市朝日町岩尾内,1,POINT (142.7073333 44.11527778)
90,ポンテシオ,73,天塩川,天塩川,重力式コンクリートダム,発電,22.3,126.2,25,996,その他の公共企業体,1983,北海道士別市朝日町茂志利,1,POINT (142.75315652 43.97847361)
91,中和,68,天塩川,剣淵川,アースダム,灌漑，特定(新規)灌漑用水,23,248,185,2132,都道府県,1924,北海道上川郡和寒町字中和,1,POINT (142.37809864 43.98126548)
92,温根別,70,天塩川,犬牛別川,ロックフィルダム,灌漑，特定(新規)灌漑用水,33.7,178,181,9312,国土交通省（各地方整備局，北海道開発局含む）,1985,北海道士別市温根別町伊文国有林士別事業区81林班地先,1,POINT (142.22182029 44.09291387)
93,北線,67,天塩川,オロウエベツ川,ロックフィルダム,灌漑，特定(新規)灌漑用水,18.3,74,30,824,都道府県,1967,北海道士別市温根別町,1,POINT (142.21666271 44.26628413000002)
94,中の沢,69,天塩川,イパノマップ川,アースダム,灌漑，特定(新規)灌漑用水,15.2,180,90,948,都道府県,1937,北海道士別市西士別町中の沢,1,POINT (142.30757032 44.21225)
95,武徳,71,天塩川,タヨロマ川,アースダム,灌漑，特定(新規)灌漑用水,21.5,358,231,2752,都道府県,1929,北海道士別市武徳町43線12号,1,POINT (142.4785 44.20630563999998)
96,御料,74,天塩川,長根川,ロックフィルダム,灌漑，特定(新規)灌漑用水,23.9,606,319,5780,国土交通省（各地方整備局，北海道開発局含む）,1986,北海道名寄市風連町字日進2265番1,1,POINT (142.50028734 44.24245275)
97,風連,64,天塩川,風連別川,ロックフィルダム,灌漑，特定(新規)灌漑用水,33.6,294,425,2918,国土交通省（各地方整備局，北海道開発局含む）,1986,北海道名寄市風連町字日進2480番,1,POINT (142.56241661 44.22172765000002)
98,民安,75,サラキタナイ川,サラキシ14号川,アースダム,灌漑，特定(新規)灌漑用水,24,260.5,276,2000,国土交通省（各地方整備局，北海道開発局含む）,2001,北海道天塩郡天塩町南更岸,1,POINT (141.8141667 44.83166667000001)
99,有明,76,茂築別川,茂築別川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",21.7,250,46,2440,都道府県,1971,北海道苫前郡初山別村字有明,1,POINT (141.85057991 44.40116531)
100,羽幌,77,築別川,三毛別川,アースダム,灌漑，特定(新規)灌漑用水,27.8,108.4,96,3300,国土交通省（各地方整備局，北海道開発局含む）,1966,北海道苫前郡羽幌町国有林142林班,1,POINT (141.92686074 44.34374646)
101,羽幌二股,78,羽幌川,デト二股川,アースダム,灌漑，特定(新規)灌漑用水,33.6,125,190,4300,国土交通省（各地方整備局，北海道開発局含む）,1978,北海道苫前郡羽幌町字上羽幌国有林106林班,1,POINT (141.9427778 44.30277778)
102,上小川,79,古丹別川,チエボツナイ川,アースダム,洪水調節，農地防災,33.2,187.3,245,3677,都道府県,2003,北海道苫前郡苫前町,1,POINT (141.84592101 44.25482351)
103,三渓,80,古丹別川,マルシメ沢川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,17,77,7,688,都道府県,1960,北海道苫前郡苫前町字三渓国有林内,1,POINT (141.78302872 44.18458380999999)
104,小平,83,小平蘂川,小平蘂川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水",42.4,475,271,33200,都道府県,1992,北海道留萌郡小平町字滝下,1,POINT (141.90611903 44.06439285)
105,沖内,84,小平蘂川,沖内川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",29.6,157,235,1189,都道府県,1995,北海道留萌郡小平町字沖内244-3,1,POINT (141.7691667 43.97711111000001)
106,留萌,86,留萌川,チバベリ川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",41.2,440,1225,23300,国土交通省（各地方整備局，北海道開発局含む）,2009,北海道留萌市大字留萌村字チバベリ,1,POINT (141.7615047661491 43.83433317936904)
107,中幌,87,留萌川,中幌糠川,アースダム,洪水調節，農地防災,25.8,123,101,2930,都道府県,1990,北海道留萌市幌糠町字奥幌糠,1,POINT (141.75498636 43.92710329000001)
108,樽真布,85,留萌川,樽真布川,アースダム,洪水調節，農地防災,24,330,307,1130,都道府県,2000,北海道留萌市樽真布町,1,POINT (141.8333333 43.92394444)
109,望来,88,望来川,望来川,アースダム,灌漑，特定(新規)灌漑用水,29.6,238.5,330,5600,国土交通省（各地方整備局，北海道開発局含む）,1996,北海道石狩市厚田区望来1054,1,POINT (141.49761391 43.35399575)
110,高富（再）,92,石狩川,地蔵沢川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",17.9,185,72,1500,都道府県,2005,北海道石狩市八幡町高岡302,1,POINT (141.44994148 43.25680323000002)
111,大雪,105,石狩川,石狩川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,発電",86.5,440,3874,66000,国土交通省（各地方整備局，北海道開発局含む）,1975,北海道上川郡上川町字層雲峡大学平,1,POINT (143.03619337 43.67674193000001)
112,古川,118,石狩川,古川,重力式コンクリートダム,発電,23.9,156.4,28,307,電力会社・電源開発株式会社,1929,北海道上川郡上川町字日東国有林,1,POINT (142.82001949 43.83318847000001)
113,愛別,131,石狩川,狩布川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,工業用水道用水",39,370,155,9500,都道府県,1986,北海道上川郡愛別町字協和,1,POINT (142.6326667 43.95405499)
114,当麻,130,石狩川,当麻川,アースダム,灌漑，特定(新規)灌漑用水,21.3,218,197,3039,国土交通省（各地方整備局，北海道開発局含む）,1967,北海道上川郡当麻町3287番1地先,1,POINT (142.5821667 43.87216667000001)
115,大沢,89,石狩川,牛朱別川,ロックフィルダム,洪水調節，農地防災,28.9,318,317,900,都道府県,2002,北海道上川郡当麻町有林,1,POINT (142.64066842 43.80388369)
116,小沢,123,石狩川,小沢川,ロックフィルダム,洪水調節，農地防災,25.4,300,229,740,都道府県,1994,北海道上川郡当麻町開明1738-14,1,POINT (142.63084319 43.82694002)
117,ペーパン,127,石狩川,ペーパン川,ロックフィルダム,灌漑，特定(新規)灌漑用水,49.2,312.5,719,3800,国土交通省（各地方整備局，北海道開発局含む）,1997,北海道旭川市東旭川町瑞穂742番7,1,POINT (142.66519732 43.71413729)
118,新区画,117,石狩川,ニタチパウマナイ川,アースダム,灌漑，特定(新規)灌漑用水,32.3,274.7,482,5600,国土交通省（各地方整備局，北海道開発局含む）,1970,北海道上川郡美瑛町字新区画1424番の6地先,1,POINT (142.51248765 43.60055556)
119,しろがね,142,石狩川,オヤウンナイ川,ロックフィルダム,灌漑，特定(新規)灌漑用水,63.5,611,1387,6800,国土交通省（各地方整備局，北海道開発局含む）,2002,北海道上川郡美瑛町字平和5893番3,1,POINT (142.59959684 43.49087592000001)
120,聖台,122,石狩川,宇莫別川,アースダム,灌漑，特定(新規)灌漑用水,29.7,485.4,318,3767,都道府県,1937,北海道上川郡美瑛町字中宇莫別,1,POINT (142.52366856 43.61189162)
121,忠別,158,石狩川,忠別川,重力式コンクリートダム・フィルダム複合ダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,発電",86,885,9444,93000,国土交通省（各地方整備局，北海道開発局含む）,2006,北海道上川郡美瑛町,1,POINT (142.6299385421827 43.62745548369824)
122,神居,167,石狩川,オイチャスンペ川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,40.4,143.2,65,5300,国土交通省（各地方整備局，北海道開発局含む）,1997,北海道旭川市新開国有林旭川事業区224林班か小班地先,1,POINT (142.34401802 43.60256972999998)
123,稲田,133,石狩川,稲田川,アースダム,灌漑，特定(新規)灌漑用水,17.6,220,87,410,都道府県,1979,北海道深川市音江町字稲田,1,POINT (142.00983952 43.64499964)
